/* Header table */                                                                                                                                                                                  
"PRODUCT_ID               ","WS030C0CP_0_00___13690000W0                                   "                                                                                                        
"PRODUCT_TYPE             ","MECA_WCL_CP                                                   "                                                                                                        
"PARENT_EDR_1             ","WS030EMC_00_00FFE13690000J1.DAT                               "                                                                                                        
"PLANET_DAY_NUMBER        ","030                                                           "                                                                                                        
"WCL_CELL_NUMBER          ","0                                                             "                                                                                                        
"RECORD_TYPE              ","STREAM                                                        "                                                                                                        
"NUMBER_OF_SCANS          ","43                                                            "                                                                                                        
"DATA_RECORDS             ","2015                                                          "                                                                                                        
"SCLK_START_COUNT         ","898868068.759                                                 "                                                                                                        
"SCLK_STOP_COUNT          ","898884800.927                                                 "                                                                                                        
"LTST_START_TIME          ","10:55:22                                                      "                                                                                                        
"LTST_STOP_TIME           ","15:26:49                                                      "                                                                                                        
"CALIBRATION_EQUATION     ","SLOPE*DN+INTERCEPT                                            "                                                                                                        
                                                                                                                                                                                                    
/* Calibration table */                                                                                                                                                                             
"CPS1","All",-6.9850E-01, 1.7770E+03,"mV"                                                                                                                                                           
"CPS1","  0", 0.0000E+00, 0.0000E+00,"nA"                                                                                                                                                           
"CPS1","  1",-6.4540E+00, 1.3243E+04,"nA"                                                                                                                                                           
"CPS1","  2",-6.2820E+01, 1.2889E+05,"nA"                                                                                                                                                           
"CPS1","  3",-6.4760E-01, 1.3290E+03,"nA"                                                                                                                                                           
"CPS1","  4",-1.2240E+02, 2.5105E+05,"nA"                                                                                                                                                           
"CPS1","  5",-3.2250E+00, 6.6190E+03,"nA"                                                                                                                                                           
"CPS1","  6",-3.1810E+01, 6.5278E+04,"nA"                                                                                                                                                           
"CPS1","  7",-3.2350E-01, 6.6360E+02,"nA"                                                                                                                                                           
                                                                                                                                                                                                    
/* Event table */                                                                                                                                                                                   
"drawer open         ",0898868112.951,"burp                                                                                                        "                                                
"drawer close        ",0898868292.248,"burp                                                                                                        "                                                
"drawer open         ",0898869883.237,"burp                                                                                                        "                                                
"drawer close        ",0898870064.237,"burp                                                                                                        "                                                
"reagent release     ",0898870317.435,"calibrant crucible                                                                                          "                                                
"drawer open         ",0898873507.024,"sample delivery                                                                                             "                                                
"drawer close        ",0898873872.416,"sample delivery                                                                                             "                                                
"drawer open         ",0898874252.138,"sample verification                                                                                         "                                                
"drawer close        ",0898874478.013,"sample verification                                                                                         "                                                
                                                                                                                                                                                                    
/* Data header table */                                                                                                                                                                             
"electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1","electrode        ","        CPS1",
"gain             ",             7,"gain             ",             7,"gain             ",             7,"gain             ",             3,"gain             ",             7,"gain             ",             7,"gain             ",             7,"gain             ",             3,"gain             ",             1,"gain             ",             6,"gain             ",             4,"gain             ",             7,"gain             ",             3,"gain             ",             5,"gain             ",             5,"gain             ",             1,"gain             ",             6,"gain             ",             2,"gain             ",             4,"gain             ",             3,"gain             ",             1,"gain             ",             6,"gain             ",             4,"gain             ",             7,"gain             ",             3,"gain             ",             5,"gain             ",             5,"gain             ",             1,"gain             ",             6,"gain             ",             2,"gain             ",             4,"gain             ",             3,"gain             ",             1,"gain             ",             6,"gain             ",             4,"gain             ",             7,"gain             ",             3,"gain             ",             5,"gain             ",             5,"gain             ",             1,"gain             ",             6,"gain             ",             2,"gain             ",             4,
"nAMin            ",    3.6600E+00,"nAMin            ",    3.6600E+00,"nAMin            ",    3.6600E+00,"nAMin            ",    7.8960E+00,"nAMin            ",    2.6246E+02,"nAMin            ",    3.0257E+02,"nAMin            ",    3.2748E+02,"nAMin            ",    7.8960E+00,"nAMin            ",    7.6840E+01,"nAMin            ",    3.8560E+02,"nAMin            ",    1.3520E+03,"nAMin            ",    3.2748E+02,"nAMin            ",    8.0574E+02,"nAMin            ",    2.0234E+03,"nAMin            ",    5.0259E+03,"nAMin            ",    1.2552E+04,"nAMin            ",    3.1241E+04,"nAMin            ",    7.5494E+04,"nAMin            ",    1.9132E+05,"nAMin            ",    7.8960E+00,"nAMin            ",    7.6840E+01,"nAMin            ",    3.8560E+02,"nAMin            ",    1.3520E+03,"nAMin            ",    3.2748E+02,"nAMin            ",    8.0574E+02,"nAMin            ",    2.0234E+03,"nAMin            ",    5.0259E+03,"nAMin            ",    1.2552E+04,"nAMin            ",    3.1241E+04,"nAMin            ",    7.5494E+04,"nAMin            ",    1.9132E+05,"nAMin            ",    7.8960E+00,"nAMin            ",    7.6840E+01,"nAMin            ",    3.8560E+02,"nAMin            ",    1.3520E+03,"nAMin            ",    3.2748E+02,"nAMin            ",    8.0574E+02,"nAMin            ",    2.0234E+03,"nAMin            ",    5.0259E+03,"nAMin            ",    1.2552E+04,"nAMin            ",    3.1241E+04,"nAMin            ",    7.5494E+04,"nAMin            ",    1.9132E+05,
"nAMax            ",    6.5519E+02,"nAMax            ",    6.5519E+02,"nAMax            ",    6.5519E+02,"nAMax            ",    1.3122E+03,"nAMax            ",    2.6246E+02,"nAMax            ",    3.0257E+02,"nAMax            ",    3.2748E+02,"nAMax            ",    1.3122E+03,"nAMax            ",    1.3075E+04,"nAMax            ",    6.4451E+04,"nAMax            ",    2.4787E+05,"nAMax            ",    3.2748E+02,"nAMax            ",    8.0574E+02,"nAMax            ",    2.0234E+03,"nAMax            ",    5.0259E+03,"nAMax            ",    1.2552E+04,"nAMax            ",    3.1241E+04,"nAMax            ",    7.5494E+04,"nAMax            ",    1.9132E+05,"nAMax            ",    1.3122E+03,"nAMax            ",    1.3075E+04,"nAMax            ",    6.4451E+04,"nAMax            ",    2.4787E+05,"nAMax            ",    3.2748E+02,"nAMax            ",    8.0574E+02,"nAMax            ",    2.0234E+03,"nAMax            ",    5.0259E+03,"nAMax            ",    1.2552E+04,"nAMax            ",    3.1241E+04,"nAMax            ",    7.5494E+04,"nAMax            ",    1.9132E+05,"nAMax            ",    1.3122E+03,"nAMax            ",    1.3075E+04,"nAMax            ",    6.4451E+04,"nAMax            ",    2.4787E+05,"nAMax            ",    3.2748E+02,"nAMax            ",    8.0574E+02,"nAMax            ",    2.0234E+03,"nAMax            ",    5.0259E+03,"nAMax            ",    1.2552E+04,"nAMax            ",    3.1241E+04,"nAMax            ",    7.5494E+04,"nAMax            ",    1.9132E+05,
"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9887E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,"cp_scan_time     ",    8.9888E+08,
"read_time        ",0898868068.759,"read_time        ",0898869839.569,"read_time        ",0898872019.653,"read_time        ",0898872098.376,"read_time        ",0898872181.004,"read_time        ",0898872260.520,"read_time        ",0898872343.327,"read_time        ",0898877059.002,"read_time        ",0898877121.715,"read_time        ",0898877184.433,"read_time        ",0898877246.418,"read_time        ",0898877311.276,"read_time        ",0898877373.288,"read_time        ",0898877434.425,"read_time        ",0898877500.000,"read_time        ",0898877562.288,"read_time        ",0898877624.286,"read_time        ",0898877686.991,"read_time        ",0898877748.550,"read_time        ",0898880575.962,"read_time        ",0898880638.672,"read_time        ",0898880700.530,"read_time        ",0898880766.207,"read_time        ",0898880830.531,"read_time        ",0898880892.376,"read_time        ",0898880957.958,"read_time        ",0898881020.234,"read_time        ",0898881082.514,"read_time        ",0898881148.533,"read_time        ",0898881209.528,"read_time        ",0898881271.526,"read_time        ",0898884099.501,"read_time        ",0898884165.199,"read_time        ",0898884227.367,"read_time        ",0898884290.074,"read_time        ",0898884355.366,"read_time        ",0898884420.936,"read_time        ",0898884483.216,"read_time        ",0898884545.227,"read_time        ",0898884607.501,"read_time        ",0898884673.183,"read_time        ",0898884735.353,"read_time        ",0898884800.927,
"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,"number_of_samples",          2015,
                                                                                                                                                                                                    
/* Date table */                                                                                                                                                                                    
 3.6600E+00, 2.3066E+01, 3.6600E+00, 7.9645E+01, 3.6600E+00, 1.0759E+02, 7.8960E+00, 1.0689E+02, 2.6246E+02, 1.2644E+02, 3.0257E+02, 1.2435E+02, 3.2748E+02, 1.3692E+02, 7.8960E+00, 9.8505E+01, 7.6840E+01, 1.0619E+02, 3.8560E+02, 1.0759E+02, 1.3520E+03, 1.1178E+02, 3.2748E+02, 1.0619E+02, 8.0574E+02, 1.1108E+02, 2.0234E+03, 1.1247E+02, 5.0259E+03, 1.2505E+02, 1.2552E+04, 1.4810E+02, 3.1241E+04, 2.2004E+02, 7.5494E+04, 3.8559E+02, 1.9132E+05, 7.8443E+02, 7.8960E+00, 1.0200E+02, 7.6840E+01, 9.6409E+01, 3.8560E+02, 1.0689E+02, 1.3520E+03, 1.0619E+02, 3.2748E+02, 1.0759E+02, 8.0574E+02, 1.0549E+02, 2.0234E+03, 1.0689E+02, 5.0259E+03, 1.2295E+02, 1.2552E+04, 1.4461E+02, 3.1241E+04, 2.0887E+02, 7.5494E+04, 3.6114E+02, 1.9132E+05, 7.4043E+02, 7.8960E+00, 1.0200E+02, 7.6840E+01, 1.0130E+02, 3.8560E+02, 9.9203E+01, 1.3520E+03, 1.0549E+02, 3.2748E+02, 1.0689E+02, 8.0574E+02, 1.0759E+02, 2.0234E+03, 1.1247E+02, 5.0259E+03, 1.2156E+02, 1.2552E+04, 1.4461E+02, 3.1241E+04, 1.9839E+02, 7.5494E+04, 3.4787E+02, 1.9132E+05, 7.2366E+02,
 3.9835E+00, 4.2624E+01, 3.9835E+00, 9.0821E+01, 3.9835E+00, 1.0130E+02, 8.5436E+00, 1.0689E+02, 2.6246E+02, 1.5089E+02, 3.0257E+02, 1.6277E+02, 3.2748E+02, 1.6277E+02, 8.5436E+00, 9.7806E+01, 8.3294E+01, 1.0759E+02, 4.1741E+02, 1.0968E+02, 1.4744E+03, 1.0898E+02, 3.2748E+02, 1.0619E+02, 8.0574E+02, 1.1317E+02, 2.0234E+03, 1.1736E+02, 5.0259E+03, 1.4181E+02, 1.2552E+04, 1.8023E+02, 3.1241E+04, 2.8640E+02, 7.5494E+04, 5.1341E+02, 1.9132E+05, 9.4928E+02, 8.5436E+00, 9.9203E+01, 8.3294E+01, 1.0200E+02, 4.1741E+02, 1.0689E+02, 1.4744E+03, 1.1317E+02, 3.2748E+02, 1.0968E+02, 8.0574E+02, 1.1247E+02, 2.0234E+03, 1.1527E+02, 5.0259E+03, 1.2994E+02, 1.2552E+04, 1.7115E+02, 3.1241E+04, 2.4170E+02, 7.5494E+04, 4.1912E+02, 1.9132E+05, 8.9130E+02, 8.5436E+00, 9.9901E+01, 8.3294E+01, 1.0409E+02, 4.1741E+02, 1.0549E+02, 1.4744E+03, 1.0898E+02, 3.2748E+02, 1.0200E+02, 8.0574E+02, 1.0689E+02, 2.0234E+03, 1.2016E+02, 5.0259E+03, 1.2644E+02, 1.2552E+04, 1.6277E+02, 3.1241E+04, 2.2074E+02, 7.5494E+04, 3.7930E+02, 1.9132E+05, 8.2494E+02,
