WCL ISE DATASET,,,,,,,,,,,,,,,,,,,,,,,,
Sol,30 ,,,,,,,,,,,,,,,,,,,,,,,
WCL Cell ,0,,,,,,,,,,,,,,,,,,,,,,,
Water Release,898866468.5629,,,,,,,,,,,,,,,,,,,,,,,
Drawer Open,898868112.9506,898869883.2373,898873507.0236,898874252.1384,,,,,,,,,,,,,,,,,,,,
Drawer Close,898868292.2481,898870064.2368,898873872.4162,898874478.0133,,,,,,,,,,,,,,,,,,,,
Regent Release,898870317.4352,,,,,,,,,,,,,,,,,,,,,,,
Time(s),Cl Ref,Vmon,CO2,Cl,I,Ir pH,Cl Ref,Cl Ref,Cl Ref,Li (A),Br,Ba,NH4,NO3,Mg,Ca,DO Ref,K,Li (B),Na,pH1,pH2,Cl Ref,Cl Ref
898866772.1848,26.4436,-491.6236,-5.0412,69.074,-243.4988,243.8892,26.4436,12.745,11.9392,-204.83,33.6276,-156.494,-283.7788,-17.9308,-245.9156,-184.69,-210.5207,-294.2516,-235.4428,-319.2252,-133.9372,2050.85,11.9392,-3.3711
898866773.1348,11.9392,-491.6236,-5.0412,65.046,-249.138,185.886,32.89,15.9682,8.716,-204.83,27.1828,-159.7164,-282.9732,-18.7364,-249.138,-184.69,-216.161,-293.446,-233.8316,-319.2252,-133.9372,2050.85,15.1624,-1.7595
898866775.1996,17.5798,-494.0404,3.0148,59.4068,-249.9436,217.3044,22.4146,16.774,7.9102,-197.5796,34.4332,-152.466,-281.362,-16.3196,-249.9436,-185.4956,-208.1034,-288.6124,-230.6092,-320.8364,-129.9092,2050.85,7.9102,2.2695
898866776.1355,11.1334,-491.6236,-1.8188,59.4068,-243.4988,220.5268,17.5798,8.716,11.9392,-201.6076,33.6276,-154.8828,-282.1676,-17.9308,-246.7212,-182.2732,-216.9668,-291.0292,-229.8036,-320.0308,-130.7148,2050.85,7.1043,-8.2059
898866778.2696,20.803,-488.4012,1.4036,63.4348,-242.6932,227.7772,27.2494,7.9102,15.9682,-195.1628,40.0724,-146.8268,-275.7228,-7.458,-244.3044,-184.69,-216.9668,-288.6124,-228.998,-319.2252,-127.4924,2050.85,12.745,-1.7595
898866779.234,11.9392,-489.2068,-1.0132,56.99,-242.6932,223.7492,28.0552,11.1334,7.9102,-198.3852,33.6276,-153.2716,-282.1676,-13.9028,-249.138,-188.718,-222.6071,-291.8348,-233.8316,-324.0588,-133.9372,2050.85,9.5218,-5.7885
898866781.3346,8.716,-487.5956,-7.458,54.5732,-249.9436,226.9716,21.6088,13.5508,7.9102,-194.3572,34.4332,-152.466,-281.362,-14.7084,-248.3324,-188.718,-220.9956,-288.6124,-230.6092,-327.2812,-129.9092,2050.85,4.6869,-0.95368
898866782.2659,7.9102,-489.2068,-7.458,53.7676,-249.138,223.7492,14.3566,11.1334,4.6869,-198.3852,27.1828,-154.0772,-282.9732,-13.9028,-249.138,-191.1348,-223.4129,-293.446,-238.6652,-330.5036,-137.1596,2050.85,4.6869,-11.4291
898866784.3996,7.9102,-490.818,2.2092,53.7676,-248.3324,228.5828,17.5798,7.9102,11.1334,-191.9404,33.6276,-153.2716,-282.1676,-12.2916,-249.138,-184.69,-222.6071,-291.8348,-237.054,-333.726,-133.9372,2050.85,11.1334,-10.6233
898866785.335,8.716,-491.6236,-8.2636,52.962,-249.9436,226.9716,21.6088,11.9392,11.9392,-194.3572,27.9884,-158.1052,-285.39,-13.0972,-249.9436,-188.718,-224.2186,-288.6124,-237.054,-333.726,-134.7428,2050.85,3.8811,-8.2059
898866787.4699,11.9392,-491.6236,-1.8188,49.7396,-249.9436,226.9716,16.774,10.3276,7.9102,-194.3572,27.9884,-158.1052,-281.362,-14.7084,-253.166,-190.3292,-224.2186,-291.8348,-237.054,-333.726,-140.382,2050.85,1.4637,-9.8175
898866788.4591,16.774,-491.6236,-5.0412,52.962,-249.9436,230.194,14.3566,8.716,5.4927,-192.746,27.9884,-158.9108,-287.0012,-14.7084,-254.7772,-188.718,-227.4417,-291.8348,-240.2764,-333.726,-140.382,2050.85,1.4637,-9.8175
898866790.5347,7.9102,-493.2348,-3.43,56.1844,-249.9436,233.4164,20.803,14.3566,7.9102,-191.9404,32.822,-153.2716,-278.1396,-7.458,-249.138,-184.69,-223.4129,-293.446,-240.2764,-332.9204,-138.7708,2050.85,7.9102,-6.5943
898866791.4602,11.9392,-488.4012,-1.8188,52.1564,-249.9436,230.194,10.3276,15.1624,5.4927,-191.1348,27.9884,-158.9108,-281.362,-14.7084,-253.166,-185.4956,-227.4417,-291.8348,-237.054,-333.726,-133.9372,2050.85,7.1043,-14.6523
898866793.5993,-0.95368,-490.818,-4.2356,47.3228,-255.5828,229.3884,18.3856,7.9102,-3.3711,-195.1628,23.9604,-159.7164,-282.1676,-14.7084,-256.3884,-188.718,-224.2186,-295.0572,-243.4988,-336.9484,-140.382,2050.85,4.6869,-7.4001
898866794.5365,7.9102,-491.6236,-8.2636,49.7396,-256.3884,226.9716,4.6869,14.3566,-1.7595,-195.1628,27.1828,-159.7164,-284.5844,-13.9028,-257.194,-192.746,-226.6359,-294.2516,-249.138,-342.5876,-139.5764,2050.85,-1.7595,-9.8175
898866796.6604,1.4637,-494.846,-5.0412,46.5172,-256.3884,226.9716,7.9102,7.9102,1.4637,-195.9684,24.766,-160.522,-284.5844,-17.1252,-255.5828,-194.3572,-229.859,-294.2516,-251.5548,-345.0044,-146.8268,2050.85,-8.2059,-8.2059
898866797.5994,-0.95368,-491.6236,-8.2636,43.2948,-262.8332,226.9716,10.3276,4.6869,1.4637,-198.3852,20.738,-166.1612,-288.6124,-17.9308,-259.6108,-192.746,-230.6647,-295.8628,-249.9436,-340.9764,-144.41,2050.85,-1.7595,-14.6523
898866799.7328,1.4637,-488.4012,-9.8748,43.2948,-262.8332,226.9716,3.0753,0.65793,-7.4001,-198.3852,23.1548,-166.1612,-284.5844,-17.1252,-262.0276,-197.5796,-236.3051,-300.6964,-254.7772,-345.0044,-148.438,2050.85,-11.4291,-14.6523
898866800.6624,-8.2059,-491.6236,-8.2636,36.85,-262.8332,226.9716,0.65793,-2.5653,4.6869,-195.1628,17.5156,-166.1612,-288.6124,-18.7364,-262.8332,-198.3852,-230.6647,-301.502,-256.3884,-346.6156,-146.8268,2050.85,-11.4291,-17.8755
898866802.7981,-8.2059,-488.4012,-10.6804,36.85,-263.6388,225.3604,-1.7595,-5.7885,-6.5943,-198.3852,19.1268,-166.1612,-295.0572,-24.3756,-269.278,-204.83,-237.1108,-307.9468,-259.6108,-349.838,-153.2716,2050.85,-17.8755,-18.6813
898866803.7343,-7.4001,-488.4012,-9.0692,33.6276,-269.278,220.5268,-5.7885,-11.4291,-8.2059,-199.1908,14.2932,-169.3836,-295.0572,-24.3756,-262.8332,-204.83,-237.1108,-307.9468,-260.4164,-349.0324,-153.2716,2050.85,-17.8755,-12.2349
898866805.8601,-10.6233,-489.2068,-14.7084,27.1828,-271.6948,218.9156,-0.95368,-13.8465,-17.8755,-204.83,10.2652,-173.4116,-297.474,-28.4036,-270.0836,-205.6356,-237.9166,-308.7524,-263.6388,-352.2548,-155.6884,2050.85,-24.322,-21.9045
898866806.8044,-17.8755,-489.2068,-17.9308,26.3772,-275.7228,216.4988,-13.0407,-17.8755,-20.2929,-205.6356,7.0428,-179.0508,-302.3076,-37.2652,-275.7228,-211.2748,-241.1396,-314.3916,-269.278,-359.5052,-160.522,2050.85,-24.322,-30.7684
898866808.9336,-17.8755,-489.2068,-18.7364,24.766,-276.5284,218.11,-17.8755,-18.6813,-18.6813,-204.83,7.0428,-175.0228,-302.3076,-31.626,-275.7228,-211.2748,-237.9166,-314.3916,-269.278,-359.5052,-159.7164,2050.85,-25.9336,-26.7394
898866809.8604,-25.9336,-488.4012,-30.8204,19.9324,-282.1676,214.082,-17.0697,-24.322,-24.322,-211.2748,-1.8188,-185.4956,-311.1692,-42.0988,-285.39,-216.914,-246.78,-324.0588,-278.9452,-364.3388,-165.3556,2050.85,-40.438,-30.7684
898866811.9949,-21.9045,-489.2068,-25.1812,19.9324,-278.1396,210.054,-18.6813,-23.5162,-25.1278,-205.6356,0.598,-179.8564,-308.7524,-39.682,-282.9732,-217.7196,-242.7512,-320.8364,-271.6948,-361.922,-166.1612,2050.85,-30.7684,-31.5742
898866812.9349,-17.0697,-490.818,-38.0708,8.654,-287.8068,201.998,-36.409,-36.409,-36.409,-210.4692,-7.458,-191.1348,-316.8084,-46.1268,-291.0292,-223.3588,-249.1973,-326.4756,-281.362,-371.5892,-171.8004,2050.85,-36.409,-39.6322
898866815.0821,-20.2929,-489.2068,-26.7924,8.654,-289.418,203.6092,-36.409,-33.1858,-31.5742,-207.2468,-7.458,-186.3012,-315.1972,-46.1268,-291.0292,-224.97,-249.1973,-323.2532,-282.9732,-372.3948,-171.8004,2050.85,-41.2438,-39.6322
898866816.0098,-23.5162,-489.2068,-33.2372,8.654,-287.8068,201.998,-33.1858,-33.1858,-33.1858,-210.4692,-10.6804,-187.9124,-316.8084,-49.3492,-291.0292,-223.3588,-249.1973,-326.4756,-284.5844,-373.2004,-171.8004,2050.85,-39.6322,-41.2438
898866818.1804,-21.9045,-490.818,-30.0148,2.2092,-297.474,198.7756,-20.2929,-33.1858,-33.1858,-207.2468,-13.9028,-184.69,-310.3636,-42.9044,-287.8068,-220.1364,-249.1973,-321.642,-278.1396,-361.922,-166.9668,2050.85,-39.6322,-36.409
898866819.1104,-23.5162,-490.818,-39.682,2.2092,-294.2516,201.998,-36.409,-36.409,-29.9626,-210.4692,-13.9028,-187.9124,-313.586,-42.9044,-287.8068,-220.1364,-249.1973,-326.4756,-281.362,-365.1444,-171.8004,2050.85,-49.3018,-42.8554
898866821.2696,-24.322,-494.0404,-39.682,-4.2356,-300.6964,192.3308,-37.2148,-46.0786,-39.6322,-217.7196,-17.1252,-192.746,-321.642,-50.9604,-295.0572,-231.4148,-250.8088,-333.726,-291.8348,-378.8396,-182.2732,2050.85,-46.0786,-49.3018
898866822.222,-17.8755,-490.818,-42.9044,-1.0132,-300.6964,192.3308,-50.1076,-46.0786,-39.6322,-218.5252,-17.1252,-197.5796,-326.4756,-54.1828,-297.474,-234.6372,-256.4491,-340.1708,-295.0572,-385.2844,-185.4956,2050.85,-52.5251,-42.8554
898866824.3353,-31.5742,-488.4012,-37.2652,-5.0412,-307.9468,191.5252,-47.6902,-55.7483,-42.8554,-219.3308,-20.3476,-203.2188,-326.4756,-59.0164,-300.6964,-236.2484,-258.8664,-339.3652,-297.474,-381.2564,-184.69,2050.85,-50.1076,-56.5541
898866825.2623,-29.9626,-487.5956,-42.9044,-12.2916,-300.6964,192.3308,-42.8554,-49.3018,-46.0786,-217.7196,-12.2916,-199.1908,-324.8644,-56.5996,-301.502,-237.054,-256.4491,-343.3932,-301.502,-384.4788,-188.718,2050.85,-46.0786,-49.3018
898866827.4046,-29.9626,-493.2348,-48.5436,-20.3476,-307.1412,182.6636,-51.7192,-58.9715,-36.409,-223.3588,-20.3476,-200.802,-334.5316,-63.85,-308.7524,-244.3044,-262.8952,-346.6156,-307.9468,-391.7292,-195.1628,2050.85,-55.7483,-54.9425
898866828.3827,-30.7684,-489.2068,-50.1548,-5.0412,-301.502,191.5252,-38.8264,-51.7192,-33.9916,-220.1364,-13.9028,-204.0244,-332.9204,-59.0164,-300.6964,-242.6932,-258.8664,-347.4212,-303.9188,-386.09,-191.9404,2050.85,-54.9425,-47.6902
898866830.4688,-33.9916,-488.4012,-40.4876,-27.598,-319.2252,175.4132,-50.1076,-55.7483,-42.8554,-223.3588,-23.57,-204.0244,-332.9204,-65.4612,-307.1412,-245.9156,-262.8952,-346.6156,-302.3076,-386.09,-191.9404,2050.85,-55.7483,-58.9715
898866831.4091,-37.2148,-490.818,-55.794,-17.1252,-308.7524,181.0524,-44.467,-63.0005,-40.438,-227.3868,-27.598,-209.6636,-339.3652,-68.6836,-313.586,-249.138,-265.3125,-349.0324,-308.7524,-390.9236,-195.9684,2050.85,-56.5541,-46.0786
898866833.6089,-33.9916,-490.818,-42.9044,-18.7364,-308.7524,185.886,-43.6612,-54.9425,-37.2148,-216.1084,-22.7644,-200.802,-332.9204,-62.2388,-307.1412,-242.6932,-265.3125,-342.5876,-300.6964,-385.2844,-191.9404,2050.85,-50.1076,-49.3018
898866834.5761,-26.7394,-491.6236,-51.766,-17.1252,-307.1412,184.2748,-55.7483,-49.3018,-42.8554,-218.5252,-17.1252,-205.6356,-334.5316,-63.0444,-304.7244,-243.4988,-261.2837,-351.4492,-307.1412,-390.9236,-191.1348,2050.85,-49.3018,-50.1076
898866836.6996,-34.7974,-491.6236,-36.4596,-23.57,-316.0028,182.6636,-44.467,-62.1947,-39.6322,-218.5252,-18.7364,-199.1908,-327.2812,-59.822,-304.7244,-241.8876,-262.0894,-345.81,-300.6964,-381.2564,-184.69,2050.85,-49.3018,-53.3309
898866837.6577,-36.409,-489.2068,-57.4052,-30.8204,-319.2252,172.1908,-49.3018,-62.1947,-50.1076,-226.5812,-30.0148,-207.2468,-339.3652,-65.4612,-314.3916,-246.7212,-269.3413,-349.838,-311.1692,-391.7292,-197.5796,2050.85,-61.3889,-58.9715
898866839.8007,-24.322,-491.6236,-48.5436,-23.57,-316.8084,182.6636,-47.6902,-57.3599,-36.409,-218.5252,-20.3476,-204.83,-333.726,-62.2388,-307.1412,-242.6932,-266.924,-349.0324,-303.9188,-387.7012,-194.3572,2050.85,-58.9715,-56.5541
898866840.7321,-30.7684,-491.6236,-61.4332,-35.654,-329.698,172.9964,-50.1076,-65.4179,-46.0786,-223.3588,-37.2652,-211.2748,-340.1708,-72.7116,-317.614,-254.7772,-268.5355,-352.2548,-310.3636,-390.9236,-194.3572,2050.85,-62.1947,-63.0005
898866842.8731,-40.438,-491.6236,-50.1548,-35.654,-328.8924,170.5796,-53.3309,-65.4179,-49.3018,-224.97,-37.2652,-211.2748,-343.3932,-74.3228,-320.0308,-255.5828,-271.7586,-355.4772,-313.586,-398.9796,-204.83,2050.85,-65.4179,-59.7773
